time,I,pol,r,ar,cc,kind,net_type
0,5.0,0.1,0.1,724,0.049,mean,static
0,0.0,0.1,0.1,33,0.003,std,static
1,11.28,0.1,0.1,724,0.049,mean,static
1,2.74,0.1,0.1,33,0.003,std,static
2,44.44,0.1,0.1,724,0.049,mean,static
2,15.59,0.1,0.1,33,0.003,std,static
3,136.06,0.1,0.1,724,0.049,mean,static
3,45.06,0.1,0.1,33,0.003,std,static
4,293.59,0.1,0.1,724,0.049,mean,static
4,77.76,0.1,0.1,33,0.003,std,static
5,458.94,0.1,0.1,724,0.049,mean,static
5,76.96,0.1,0.1,33,0.003,std,static
6,536.69,0.1,0.1,724,0.049,mean,static
6,51.37,0.1,0.1,33,0.003,std,static
7,533.56,0.1,0.1,724,0.049,mean,static
7,27.92,0.1,0.1,33,0.003,std,static
8,495.91,0.1,0.1,724,0.049,mean,static
8,17.61,0.1,0.1,33,0.003,std,static
9,449.75,0.1,0.1,724,0.049,mean,static
9,14.66,0.1,0.1,33,0.003,std,static
10,407.09,0.1,0.1,724,0.049,mean,static
10,13.86,0.1,0.1,33,0.003,std,static
11,366.34,0.1,0.1,724,0.049,mean,static
11,12.3,0.1,0.1,33,0.003,std,static
12,327.44,0.1,0.1,724,0.049,mean,static
12,11.74,0.1,0.1,33,0.003,std,static
13,291.44,0.1,0.1,724,0.049,mean,static
13,10.75,0.1,0.1,33,0.003,std,static
14,257.72,0.1,0.1,724,0.049,mean,static
14,9.32,0.1,0.1,33,0.003,std,static
15,230.47,0.1,0.1,724,0.049,mean,static
15,9.63,0.1,0.1,33,0.003,std,static
16,207.72,0.1,0.1,724,0.049,mean,static
16,11.22,0.1,0.1,33,0.003,std,static
17,188.56,0.1,0.1,724,0.049,mean,static
17,10.67,0.1,0.1,33,0.003,std,static
18,170.12,0.1,0.1,724,0.049,mean,static
18,11.12,0.1,0.1,33,0.003,std,static
19,153.0,0.1,0.1,724,0.049,mean,static
19,11.39,0.1,0.1,33,0.003,std,static
20,138.53,0.1,0.1,724,0.049,mean,static
20,11.44,0.1,0.1,33,0.003,std,static
21,125.47,0.1,0.1,724,0.049,mean,static
21,11.2,0.1,0.1,33,0.003,std,static
