time,I,pol,r,ar,cc,V_tot,kind,net_type
0,5.0,0.1,0.1,335,0.04,656,mean,static
0,0.0,0.1,0.1,75,0.002,73.82834160021136,std,static
1,6.75,0.1,0.1,335,0.04,656,mean,static
1,1.62,0.1,0.1,75,0.002,73.82834160021136,std,static
2,11.47,0.1,0.1,335,0.04,656,mean,static
2,4.88,0.1,0.1,75,0.002,73.82834160021136,std,static
3,20.84,0.1,0.1,335,0.04,656,mean,static
3,10.7,0.1,0.1,75,0.002,73.82834160021136,std,static
4,35.44,0.1,0.1,335,0.04,656,mean,static
4,19.08,0.1,0.1,75,0.002,73.82834160021136,std,static
5,54.53,0.1,0.1,335,0.04,656,mean,static
5,31.22,0.1,0.1,75,0.002,73.82834160021136,std,static
6,77.66,0.1,0.1,335,0.04,656,mean,static
6,40.6,0.1,0.1,75,0.002,73.82834160021136,std,static
7,101.75,0.1,0.1,335,0.04,656,mean,static
7,47.9,0.1,0.1,75,0.002,73.82834160021136,std,static
8,123.38,0.1,0.1,335,0.04,656,mean,static
8,51.84,0.1,0.1,75,0.002,73.82834160021136,std,static
9,136.66,0.1,0.1,335,0.04,656,mean,static
9,52.04,0.1,0.1,75,0.002,73.82834160021136,std,static
10,145.91,0.1,0.1,335,0.04,656,mean,static
10,49.05,0.1,0.1,75,0.002,73.82834160021136,std,static
11,148.62,0.1,0.1,335,0.04,656,mean,static
11,43.81,0.1,0.1,75,0.002,73.82834160021136,std,static
12,146.66,0.1,0.1,335,0.04,656,mean,static
12,36.43,0.1,0.1,75,0.002,73.82834160021136,std,static
13,138.88,0.1,0.1,335,0.04,656,mean,static
13,31.56,0.1,0.1,75,0.002,73.82834160021136,std,static
14,130.28,0.1,0.1,335,0.04,656,mean,static
14,26.93,0.1,0.1,75,0.002,73.82834160021136,std,static
15,120.69,0.1,0.1,335,0.04,656,mean,static
15,22.56,0.1,0.1,75,0.002,73.82834160021136,std,static
16,110.75,0.1,0.1,335,0.04,656,mean,static
16,20.17,0.1,0.1,75,0.002,73.82834160021136,std,static
17,99.09,0.1,0.1,335,0.04,656,mean,static
17,17.37,0.1,0.1,75,0.002,73.82834160021136,std,static
18,88.28,0.1,0.1,335,0.04,656,mean,static
18,15.54,0.1,0.1,75,0.002,73.82834160021136,std,static
19,80.31,0.1,0.1,335,0.04,656,mean,static
19,14.05,0.1,0.1,75,0.002,73.82834160021136,std,static
20,71.94,0.1,0.1,335,0.04,656,mean,static
20,12.21,0.1,0.1,75,0.002,73.82834160021136,std,static
21,63.16,0.1,0.1,335,0.04,656,mean,static
21,10.78,0.1,0.1,75,0.002,73.82834160021136,std,static
22,56.22,0.1,0.1,335,0.04,656,mean,static
22,10.2,0.1,0.1,75,0.002,73.82834160021136,std,static
23,49.03,0.1,0.1,335,0.04,656,mean,static
23,9.92,0.1,0.1,75,0.002,73.82834160021136,std,static
24,42.09,0.1,0.1,335,0.04,656,mean,static
24,8.69,0.1,0.1,75,0.002,73.82834160021136,std,static
25,36.28,0.1,0.1,335,0.04,656,mean,static
25,6.92,0.1,0.1,75,0.002,73.82834160021136,std,static
