time,I,pol,r,ar,cc,V_tot,kind,net_type
0,5.0,0.1,0.1,69,0.041,874,mean,static
0,0.0,0.1,0.1,43,0.003,64.79315043853015,std,static
1,6.0,0.1,0.1,69,0.041,874,mean,static
1,1.2,0.1,0.1,43,0.003,64.79315043853015,std,static
2,7.34,0.1,0.1,69,0.041,874,mean,static
2,2.56,0.1,0.1,43,0.003,64.79315043853015,std,static
3,8.72,0.1,0.1,69,0.041,874,mean,static
3,3.87,0.1,0.1,43,0.003,64.79315043853015,std,static
4,10.84,0.1,0.1,69,0.041,874,mean,static
4,5.99,0.1,0.1,43,0.003,64.79315043853015,std,static
5,12.97,0.1,0.1,69,0.041,874,mean,static
5,7.56,0.1,0.1,43,0.003,64.79315043853015,std,static
6,16.03,0.1,0.1,69,0.041,874,mean,static
6,10.21,0.1,0.1,43,0.003,64.79315043853015,std,static
7,18.44,0.1,0.1,69,0.041,874,mean,static
7,13.0,0.1,0.1,43,0.003,64.79315043853015,std,static
8,19.97,0.1,0.1,69,0.041,874,mean,static
8,14.05,0.1,0.1,43,0.003,64.79315043853015,std,static
9,20.84,0.1,0.1,69,0.041,874,mean,static
9,14.5,0.1,0.1,43,0.003,64.79315043853015,std,static
10,21.88,0.1,0.1,69,0.041,874,mean,static
10,15.63,0.1,0.1,43,0.003,64.79315043853015,std,static
11,23.47,0.1,0.1,69,0.041,874,mean,static
11,17.22,0.1,0.1,43,0.003,64.79315043853015,std,static
0,5.0,0.1,0.1,69,0.056,855,mean,dynamic
0,0.0,0.1,0.1,45,0.008,76.26310722385693,std,dynamic
1,5.44,0.1,0.1,69,0.056,855,mean,dynamic
1,1.14,0.1,0.1,45,0.008,76.26310722385693,std,dynamic
2,6.28,0.1,0.1,69,0.056,855,mean,dynamic
2,2.2,0.1,0.1,45,0.008,76.26310722385693,std,dynamic
3,7.78,0.1,0.1,69,0.056,855,mean,dynamic
3,3.92,0.1,0.1,45,0.008,76.26310722385693,std,dynamic
