time,I,pol,r,ar,cc,kind,net_type
0,5.0,0.1,0.1,1305,0.03,mean,static
0,0.0,0.1,0.1,63,0.002,std,static
1,11.59,0.1,0.1,1305,0.03,mean,static
1,2.04,0.1,0.1,63,0.002,std,static
2,41.78,0.1,0.1,1305,0.03,mean,static
2,15.99,0.1,0.1,63,0.002,std,static
3,135.12,0.1,0.1,1305,0.03,mean,static
3,60.01,0.1,0.1,63,0.002,std,static
4,383.19,0.1,0.1,1305,0.03,mean,static
4,140.99,0.1,0.1,63,0.002,std,static
5,713.56,0.1,0.1,1305,0.03,mean,static
5,160.06,0.1,0.1,63,0.002,std,static
6,920.22,0.1,0.1,1305,0.03,mean,static
6,115.24,0.1,0.1,63,0.002,std,static
7,967.78,0.1,0.1,1305,0.03,mean,static
7,66.64,0.1,0.1,63,0.002,std,static
8,931.28,0.1,0.1,1305,0.03,mean,static
8,44.78,0.1,0.1,63,0.002,std,static
9,862.47,0.1,0.1,1305,0.03,mean,static
9,29.59,0.1,0.1,63,0.002,std,static
10,785.81,0.1,0.1,1305,0.03,mean,static
10,23.45,0.1,0.1,63,0.002,std,static
11,713.72,0.1,0.1,1305,0.03,mean,static
11,23.64,0.1,0.1,63,0.002,std,static
12,648.97,0.1,0.1,1305,0.03,mean,static
12,22.13,0.1,0.1,63,0.002,std,static
13,586.94,0.1,0.1,1305,0.03,mean,static
13,21.46,0.1,0.1,63,0.002,std,static
14,528.88,0.1,0.1,1305,0.03,mean,static
14,20.63,0.1,0.1,63,0.002,std,static
15,478.72,0.1,0.1,1305,0.03,mean,static
15,19.55,0.1,0.1,63,0.002,std,static
16,431.59,0.1,0.1,1305,0.03,mean,static
16,18.71,0.1,0.1,63,0.002,std,static
17,387.78,0.1,0.1,1305,0.03,mean,static
17,18.59,0.1,0.1,63,0.002,std,static
18,349.16,0.1,0.1,1305,0.03,mean,static
18,17.62,0.1,0.1,63,0.002,std,static
19,315.03,0.1,0.1,1305,0.03,mean,static
19,15.81,0.1,0.1,63,0.002,std,static
20,284.56,0.1,0.1,1305,0.03,mean,static
20,15.93,0.1,0.1,63,0.002,std,static
21,255.84,0.1,0.1,1305,0.03,mean,static
21,14.77,0.1,0.1,63,0.002,std,static
22,230.72,0.1,0.1,1305,0.03,mean,static
22,11.95,0.1,0.1,63,0.002,std,static
23,207.81,0.1,0.1,1305,0.03,mean,static
23,11.37,0.1,0.1,63,0.002,std,static
24,187.38,0.1,0.1,1305,0.03,mean,static
24,11.45,0.1,0.1,63,0.002,std,static
25,170.12,0.1,0.1,1305,0.03,mean,static
25,10.39,0.1,0.1,63,0.002,std,static
26,151.72,0.1,0.1,1305,0.03,mean,static
26,9.29,0.1,0.1,63,0.002,std,static
27,136.72,0.1,0.1,1305,0.03,mean,static
27,9.64,0.1,0.1,63,0.002,std,static
28,123.91,0.1,0.1,1305,0.03,mean,static
28,9.03,0.1,0.1,63,0.002,std,static
29,112.53,0.1,0.1,1305,0.03,mean,static
29,9.22,0.1,0.1,63,0.002,std,static
30,100.53,0.1,0.1,1305,0.03,mean,static
30,8.57,0.1,0.1,63,0.002,std,static
31,90.66,0.1,0.1,1305,0.03,mean,static
31,8.1,0.1,0.1,63,0.002,std,static
32,80.66,0.1,0.1,1305,0.03,mean,static
32,8.41,0.1,0.1,63,0.002,std,static
33,72.41,0.1,0.1,1305,0.03,mean,static
33,8.3,0.1,0.1,63,0.002,std,static
34,65.06,0.1,0.1,1305,0.03,mean,static
34,8.05,0.1,0.1,63,0.002,std,static
35,58.16,0.1,0.1,1305,0.03,mean,static
35,8.17,0.1,0.1,63,0.002,std,static
36,52.06,0.1,0.1,1305,0.03,mean,static
36,7.28,0.1,0.1,63,0.002,std,static
37,46.22,0.1,0.1,1305,0.03,mean,static
37,6.03,0.1,0.1,63,0.002,std,static
38,41.34,0.1,0.1,1305,0.03,mean,static
38,5.73,0.1,0.1,63,0.002,std,static
39,36.53,0.1,0.1,1305,0.03,mean,static
39,5.33,0.1,0.1,63,0.002,std,static
40,32.91,0.1,0.1,1305,0.03,mean,static
40,5.24,0.1,0.1,63,0.002,std,static
41,29.62,0.1,0.1,1305,0.03,mean,static
41,5.24,0.1,0.1,63,0.002,std,static
42,26.53,0.1,0.1,1305,0.03,mean,static
42,5.05,0.1,0.1,63,0.002,std,static
43,23.81,0.1,0.1,1305,0.03,mean,static
43,5.1,0.1,0.1,63,0.002,std,static
44,21.31,0.1,0.1,1305,0.03,mean,static
44,4.76,0.1,0.1,63,0.002,std,static
45,19.22,0.1,0.1,1305,0.03,mean,static
45,4.39,0.1,0.1,63,0.002,std,static
46,17.12,0.1,0.1,1305,0.03,mean,static
46,4.36,0.1,0.1,63,0.002,std,static
47,14.94,0.1,0.1,1305,0.03,mean,static
47,3.82,0.1,0.1,63,0.002,std,static
48,13.62,0.1,0.1,1305,0.03,mean,static
48,3.79,0.1,0.1,63,0.002,std,static
49,12.25,0.1,0.1,1305,0.03,mean,static
49,3.35,0.1,0.1,63,0.002,std,static
50,10.97,0.1,0.1,1305,0.03,mean,static
50,3.22,0.1,0.1,63,0.002,std,static
51,10.03,0.1,0.1,1305,0.03,mean,static
51,3.19,0.1,0.1,63,0.002,std,static
52,8.78,0.1,0.1,1305,0.03,mean,static
52,2.85,0.1,0.1,63,0.002,std,static
53,8.19,0.1,0.1,1305,0.03,mean,static
53,2.78,0.1,0.1,63,0.002,std,static
54,7.66,0.1,0.1,1305,0.03,mean,static
54,2.7,0.1,0.1,63,0.002,std,static
55,6.88,0.1,0.1,1305,0.03,mean,static
55,2.47,0.1,0.1,63,0.002,std,static
56,6.09,0.1,0.1,1305,0.03,mean,static
56,2.5,0.1,0.1,63,0.002,std,static
57,5.47,0.1,0.1,1305,0.03,mean,static
57,2.32,0.1,0.1,63,0.002,std,static
58,5.03,0.1,0.1,1305,0.03,mean,static
58,2.14,0.1,0.1,63,0.002,std,static
59,4.72,0.1,0.1,1305,0.03,mean,static
59,2.07,0.1,0.1,63,0.002,std,static
60,4.25,0.1,0.1,1305,0.03,mean,static
60,2.0,0.1,0.1,63,0.002,std,static
61,3.97,0.1,0.1,1305,0.03,mean,static
61,1.93,0.1,0.1,63,0.002,std,static
62,3.53,0.1,0.1,1305,0.03,mean,static
62,2.08,0.1,0.1,63,0.002,std,static
63,3.25,0.1,0.1,1305,0.03,mean,static
63,2.02,0.1,0.1,63,0.002,std,static
0,5.0,0.1,0.1,1295,0.026,mean,dynamic
0,0.0,0.1,0.1,54,0.001,std,dynamic
1,10.47,0.1,0.1,1295,0.026,mean,dynamic
1,1.95,0.1,0.1,54,0.001,std,dynamic
2,35.44,0.1,0.1,1295,0.026,mean,dynamic
2,11.59,0.1,0.1,54,0.001,std,dynamic
3,135.81,0.1,0.1,1295,0.026,mean,dynamic
3,47.34,0.1,0.1,54,0.001,std,dynamic
4,390.81,0.1,0.1,1295,0.026,mean,dynamic
4,113.81,0.1,0.1,54,0.001,std,dynamic
5,705.84,0.1,0.1,1295,0.026,mean,dynamic
5,142.18,0.1,0.1,54,0.001,std,dynamic
6,899.09,0.1,0.1,1295,0.026,mean,dynamic
6,108.65,0.1,0.1,54,0.001,std,dynamic
7,947.69,0.1,0.1,1295,0.026,mean,dynamic
7,62.57,0.1,0.1,54,0.001,std,dynamic
8,921.75,0.1,0.1,1295,0.026,mean,dynamic
8,40.48,0.1,0.1,54,0.001,std,dynamic
9,859.84,0.1,0.1,1295,0.026,mean,dynamic
9,29.35,0.1,0.1,54,0.001,std,dynamic
10,786.5,0.1,0.1,1295,0.026,mean,dynamic
10,23.78,0.1,0.1,54,0.001,std,dynamic
11,714.19,0.1,0.1,1295,0.026,mean,dynamic
11,21.64,0.1,0.1,54,0.001,std,dynamic
12,649.41,0.1,0.1,1295,0.026,mean,dynamic
12,19.52,0.1,0.1,54,0.001,std,dynamic
13,584.53,0.1,0.1,1295,0.026,mean,dynamic
13,19.91,0.1,0.1,54,0.001,std,dynamic
14,525.28,0.1,0.1,1295,0.026,mean,dynamic
14,15.92,0.1,0.1,54,0.001,std,dynamic
15,472.16,0.1,0.1,1295,0.026,mean,dynamic
15,16.08,0.1,0.1,54,0.001,std,dynamic
16,424.88,0.1,0.1,1295,0.026,mean,dynamic
16,15.07,0.1,0.1,54,0.001,std,dynamic
17,380.34,0.1,0.1,1295,0.026,mean,dynamic
17,15.63,0.1,0.1,54,0.001,std,dynamic
18,341.53,0.1,0.1,1295,0.026,mean,dynamic
18,14.65,0.1,0.1,54,0.001,std,dynamic
19,306.34,0.1,0.1,1295,0.026,mean,dynamic
19,13.84,0.1,0.1,54,0.001,std,dynamic
20,274.41,0.1,0.1,1295,0.026,mean,dynamic
20,13.07,0.1,0.1,54,0.001,std,dynamic
21,246.38,0.1,0.1,1295,0.026,mean,dynamic
21,12.42,0.1,0.1,54,0.001,std,dynamic
22,221.19,0.1,0.1,1295,0.026,mean,dynamic
22,11.06,0.1,0.1,54,0.001,std,dynamic
23,197.5,0.1,0.1,1295,0.026,mean,dynamic
23,10.93,0.1,0.1,54,0.001,std,dynamic
24,176.12,0.1,0.1,1295,0.026,mean,dynamic
24,12.11,0.1,0.1,54,0.001,std,dynamic
25,159.22,0.1,0.1,1295,0.026,mean,dynamic
